8.8	1	1.29246	1.68167
8.85	1	1.27182	1.69062
8.9	1	1.25051	1.69855
8.95	1	1.22857	1.70547
9	1	1.20606	1.71134
9.05	1	1.18303	1.71617
9.1	1	1.15955	1.71994
9.15	1	1.13567	1.72266
9.2	1	1.11144	1.72431
9.25	1	1.08694	1.72489
9.3	1	1.06223	1.7244
9.35	1	1.03735	1.72285
9.4	1	1.01239	1.72023
9.45	1	0.98739	1.71655
9.5	1	0.962424	1.71182
9.55	1	0.937552	1.70604
9.6	1	0.912837	1.69922
9.65	1	0.888339	1.69138
9.7	1	0.86412	1.68252
9.75	1	0.84024	1.67266
9.8	1	0.81676	1.66183
9.85	1	0.793738	1.65002
9.9	1	0.771232	1.63728
9.95	1	0.749297	1.62361
10	1	0.727989	1.60904
10.05	1	0.707361	1.5936
10.1	1	0.687465	1.5773
10.15	1	0.668349	1.56019
10.2	1	0.650063	1.54229
10.25	1	0.632651	1.52362
10.3	1	0.616157	1.50422
10.35	1	0.600623	1.48413
10.4	1	0.586087	1.46338
10.45	1	0.572585	1.44201
10.5	1	0.560152	1.42005
10.55	1	0.548818	1.39755
10.6	1	0.538612	1.37454
10.65	1	0.529559	1.35107
10.7	1	0.521682	1.32718
10.75	1	0.515001	1.3029
10.8	1	0.509532	1.2783
10.85	1	0.505289	1.25341
10.9	1	0.502282	1.22828
10.95	1	0.500519	1.20295
11	1	0.500005	1.17748
11.05	1	0.50074	1.15191
11.1	1	0.502724	1.12629
11.15	1	0.50595	1.10068
11.2	1	0.510411	1.07512
11.25	1	0.516096	1.04965
11.3	1	0.52299	1.02434
11.35	1	0.531077	0.999232
11.4	1	0.540336	0.974374
11.45	1	0.550743	0.949817
11.5	1	0.562274	0.925611
11.55	1	0.574899	0.901805
11.6	1	0.588586	0.878448
11.65	1	0.603301	0.855588
11.7	1	0.619008	0.833272
11.75	1	0.635668	0.811546
11.8	1	0.653237	0.790455
11.85	1	0.671674	0.770045
11.9	1	0.690931	0.750358
11.95	1	0.710961	0.731435
12	1	0.731714	0.713318
12.05	1	0.753136	0.696044
12.1	1	0.775176	0.679651
12.15	1	0.797778	0.664175
12.2	1	0.820885	0.649648
12.25	1	0.84444	0.636102
12.3	1	0.868384	0.623567
12.35	1	0.892657	0.61207
12.4	1	0.917198	0.601636
12.45	1	0.941946	0.592289
12.5	1	0.966839	0.584048
12.55	1	0.991815	0.576932
12.6	1	1.01681	0.570957
12.65	1	1.04177	0.566136
12.7	1	1.06662	0.56248
12.75	1	1.0913	0.559996
12.8	1	1.11575	0.55869
12.85	1	1.13992	0.558566
12.9	1	1.16374	0.559622
12.95	1	1.18714	0.561858
13	1	1.21008	0.565268
13.05	1	1.2325	0.569844
13.1	1	1.25433	0.575577
13.15	1	1.27553	0.582453
13.2	1	1.29604	0.590458
13.25	1	1.31581	0.599574
13.3	1	1.33478	0.60978
13.35	1	1.35293	0.621055
13.4	1	1.37019	0.633373
13.45	1	1.38652	0.646708
13.5	1	1.40189	0.661031
13.55	1	1.41626	0.67631
13.6	1	1.42958	0.692513
13.65	1	1.44183	0.709604
13.7	1	1.45298	0.727546
13.75	1	1.46299	0.746302
13.8	1	1.47185	0.765832
13.85	1	1.47953	0.786093
13.9	1	1.486	0.807044
13.95	1	1.49127	0.828639
14	1	1.4953	0.850835
14.05	1	1.4981	0.873584
14.1	1	1.49965	0.896841
14.15	1	1.49996	0.920556
14.2	1	1.49901	0.944681
14.25	1	1.49682	0.969168
14.3	1	1.49339	0.993967
14.35	1	1.48872	1.01903
14.4	1	1.48283	1.0443
14.45	1	1.47573	1.06974
14.5	1	1.46745	1.09528
14.55	1	1.45799	1.12089
14.6	1	1.4474	1.14651
14.65	1	1.43568	1.17209
14.7	1	1.42287	1.19759
14.75	1	1.40901	1.22295
14.8	1	1.39413	1.24813
14.85	1	1.37826	1.27307
14.9	1	1.36144	1.29774
14.95	1	1.34372	1.32209
15	1	1.32514	1.34606
15.05	1	1.30575	1.36963
15.1	1	1.2856	1.39274
15.15	1	1.26473	1.41535
15.2	1	1.2432	1.43743
15.25	1	1.22106	1.45893
15.3	1	1.19837	1.47981
15.35	1	1.17518	1.50004
15.4	1	1.15156	1.51959
15.45	1	1.12756	1.53841
15.5	1	1.10323	1.55648
15.55	1	1.07865	1.57376
15.6	1	1.05388	1.59023
15.65	1	1.02897	1.60586
15.7	1	1.00398	1.62061
15.75	1	0.978988	1.63447
15.8	1	0.954047	1.64741
15.85	1	0.92922	1.65942
15.9	1	0.904571	1.67046
15.95	1	0.88016	1.68052
16	1	0.856048	1.68959
16.05	1	0.832297	1.69765
16.1	1	0.808964	1.70469
16.15	1	0.786109	1.71069
16.2	1	0.763789	1.71564
16.25	1	0.742059	1.71954
16.3	1	0.720974	1.72238
16.35	1	0.700586	1.72416
16.4	1	0.680947	1.72487
16.45	1	0.662105	1.72452
16.5	1	0.644107	1.72309
16.55	1	0.626999	1.7206
16.6	1	0.610824	1.71705
16.65	1	0.595621	1.71245
16.7	1	0.581429	1.70679
16.75	1	0.568283	1.7001
16.8	1	0.556216	1.69238
16.85	1	0.545259	1.68364
16.9	1	0.535438	1.67391
16.95	1	0.526778	1.66319
17	1	0.519301	1.6515
17.05	1	0.513026	1.63887
17.1	1	0.507967	1.62531
17.15	1	0.504139	1.61085
17.2	1	0.50155	1.59551
17.25	1	0.500207	1.57932
17.3	1	0.500113	1.5623
17.35	1	0.501268	1.54449
17.4	1	0.50367	1.52591
17.45	1	0.507313	1.5066
17.5	1	0.512187	1.4866
17.55	1	0.51828	1.46592
17.6	1	0.525578	1.44463
17.65	1	0.534061	1.42274
17.7	1	0.543709	1.4003
17.75	1	0.554497	1.37735
17.8	1	0.566399	1.35393
17.85	1	0.579385	1.33008
17.9	1	0.593421	1.30585
17.95	1	0.608475	1.28129
18	1	0.624506	1.25643
18.05	1	0.641477	1.23132
18.1	1	0.659343	1.20602
18.15	1	0.678061	1.18056
18.2	1	0.697584	1.155
18.25	1	0.717862	1.12939
18.3	1	0.738846	1.10377
18.35	1	0.760482	1.0782
18.4	1	0.782717	1.05272
18.45	1	0.805495	1.02739
18.5	1	0.82876	1.00225
18.55	1	0.852452	0.977362
18.6	1	0.876513	0.952766
18.65	1	0.900883	0.928515
18.7	1	0.9255	0.904658
18.75	1	0.950304	0.881245
18.8	1	0.975232	0.858322
18.85	1	1.00022	0.835937
18.9	1	1.02521	0.814138
18.95	1	1.05014	0.792968
19	1	1.07494	0.772473
19.05	1	1.09955	0.752696
19.1	1	1.12392	0.733679
19.15	1	1.14797	0.715463
19.2	1	1.17166	0.698085
19.25	1	1.19491	0.681584
19.3	1	1.21768	0.665995
19.35	1	1.23991	0.651351
19.4	1	1.26153	0.637685
19.45	1	1.2825	0.625027
19.5	1	1.30277	0.613403
19.55	1	1.32228	0.602839
19.6	1	1.34098	0.59336
19.65	1	1.35883	0.584984
19.7	1	1.37579	0.577732
19.75	1	1.3918	0.571618
19.8	1	1.40684	0.566657
19.85	1	1.42086	0.562859
19.9	1	1.43382	0.560233
19.95	1	1.4457	0.558785
20	1	1.45647	0.558518
20.05	1	1.4661	0.559432
20.1	1	1.47456	0.561526
20.15	1	1.48184	0.564794
20.2	1	1.48791	0.56923
20.25	1	1.49276	0.574823
20.3	1	1.49638	0.581562
20.35	1	1.49876	0.589432
20.4	1	1.4999	0.598414
20.45	1	1.49978	0.60849
20.5	1	1.49841	0.619637
20.55	1	1.4958	0.631831
20.6	1	1.49195	0.645044
20.65	1	1.48687	0.659249
20.7	1	1.48058	0.674414
20.75	1	1.47308	0.690507
