You need three arguments
x			           erf(x)			        error on erf(x)
0.500000000000000000	 0.520499877813046408     0.000000000000005779
0.550000000000000044     0.563323366325108821     0.000000000000000475
0.599999999999999978     0.603856090847925686     0.000000000000000450
0.650000000000000022     0.642029327355671642     0.000000000000000424
0.699999999999999956     0.677801193837418214     0.000000000000000397
0.750000000000000000     0.711155633653514863     0.000000000000000370
0.800000000000000044     0.742100964707660293     0.000000000000000344
0.850000000000000089     0.770668057608352330     0.000000000000000317
0.900000000000000022     0.796908212422831941     0.000000000000000291
0.949999999999999956     0.820890807273277678     0.000000000000000266
1.000000000000000000     0.842700792949714672     0.000000000000000242
1.050000000000000044     0.862436106090096466     0.000000000000000219
1.100000000000000089     0.880205069574081511     0.000000000000000197
1.149999999999999911     0.896123842936914716     0.000000000000000177
1.200000000000000178     0.910313978229635112     0.000000000000000158
1.250000000000000000     0.922900128256457952     0.000000000000000140
1.300000000000000044     0.934007944940652202     0.000000000000000123
1.350000000000000089     0.943762196122723829     0.000000000000000108
1.399999999999999911     0.952285119762648513     0.000000000000000095
1.450000000000000178     0.959695025637459009     0.000000000000000082
1.500000000000000000     0.966105146475310428     0.000000000000000071
