-20 -0.176406 -0.200139
-19.8 0.0451838 -0.263613
-19.6 0.233577 -0.131678
-19.4 0.250647 0.0971764
-19.2 0.0853664 0.255646
-19 -0.141661 0.230121
-18.8 -0.267923 0.0403521
-18.6 -0.205064 -0.178194
-18.4 0.00132348 -0.272402
-18.2 0.207085 -0.17812
-18 0.271205 0.0383725
-17.8 0.151456 0.229141
-17.6 -0.07012 0.266374
-17.4 -0.245438 0.126754
-17.2 -0.259745 -0.0963407
-17 -0.105262 -0.257136
-16.8 0.117097 -0.252874
-16.6 0.265335 -0.0878682
-16.4 0.247016 0.132594
-16.2 0.0751892 0.270977
-16 -0.143058 0.243123
-15.8 -0.274772 0.0676523
-15.6 -0.241854 -0.148643
-15.4 -0.0655594 -0.277149
-15.2 0.149361 -0.243583
-15 0.278217 -0.0691266
-14.8 0.248394 0.145043
-14.6 0.0784944 0.277741
-14.4 -0.135324 0.256057
-14.2 -0.275111 0.093701
-14 -0.265983 -0.119666
-13.8 -0.114616 -0.26934
-13.6 0.0974139 -0.277163
-13.4 0.259068 -0.140832
-13.2 0.288087 0.067912
-13 0.17151 0.242613
-12.8 -0.0306733 0.296686
-12.6 -0.21808 0.205202
-12.4 -0.3003 0.0143716
-12.2 -0.239641 -0.183565
-12 -0.0665552 -0.29572
-11.8 0.13748 -0.271577
-11.6 0.279375 -0.124095
-11.4 0.296685 0.0790167
-11.2 0.183704 0.247701
-11 -0.00875959 0.309655
-10.8 -0.19777 0.240278
-10.6 -0.304578 0.0706206
-10.4 -0.286805 -0.12819
-10.2 -0.153697 -0.275734
-10 0.0402412 -0.31468
-9.8 0.218867 -0.231863
-9.6 0.314652 -0.0609129
-9.4 0.293478 0.132939
-9.2 0.165268 0.278584
-9 -0.0221337 0.324947
-8.8 -0.202054 0.257782
-8.6 -0.313112 0.102356
-8.4 -0.319592 -0.087518
-8.2 -0.221599 -0.24904
-8 -0.0527051 -0.331252
-7.8 0.132852 -0.310301
-7.6 0.27825 -0.194934
-7.4 0.341324 -0.0215965
-7.2 0.305852 0.158217
-7 0.184281 0.293762
-6.8 0.0121045 0.349084
-6.6 -0.163526 0.3116
-6.4 -0.297138 0.193541
-6.2 -0.356421 0.0267908
-6 -0.329145 -0.146698
-5.8 -0.224352 -0.28589
-5.6 -0.0683307 -0.360172
-5.4 0.102935 -0.355317
